Stage,25%,Central,Max,Theta,Alpha,Total
1,2.0,3.9000000000000004,11.3,0.00024003887874029958,6.16869988381068e-05,0.000694337516124653
1,1.0,2.1,11.200000000000001,0.0003017940874227638,0.0001633198414402877,0.0018897234245999887
1,1.4000000000000001,3.0,10.100000000000001,0.0003394688880884227,0.00010436047259087969,0.0012959925689421102
1,1.8,3.4000000000000004,11.700000000000001,0.00036261470458292465,0.00017930044730980478,0.0014756261682464097
1,2.6,4.6000000000000005,18.8,0.00026738454770154754,7.017389445953166e-05,0.0006985666117340107
1,1.9000000000000001,3.4000000000000004,12.0,0.00025471239521776534,0.00011777535402848611,0.001038689581322757
1,1.2000000000000002,2.5,10.700000000000001,0.00031675733897210665,0.0001626376053355106,0.0017567388435569492
1,1.5,2.8000000000000003,11.3,0.00021591008901214432,0.00010665119588114192,0.001080588144413341
1,0.7000000000000001,1.4000000000000001,8.9,0.000211564227618022,7.827374804941114e-05,0.0019422332255489398
1,2.4000000000000004,4.0,12.200000000000001,0.000444293031267902,0.00020167450793982957,0.0014546832221825692
1,2.0,3.9000000000000004,10.4,0.0005203185240837474,0.0001772633489902431,0.001540709908945099
1,2.4000000000000004,8.3,18.900000000000002,0.00011100454656367523,0.0002958117074322475,0.0006673131355887804
1,4.3,7.4,12.700000000000001,0.00027125168156654503,0.00021479579972700588,0.0006876168521127693
1,4.4,8.1,17.1,0.00016430677820711745,0.0002648845154771729,0.0006386725491302408
1,3.9000000000000004,6.9,13.600000000000001,0.00032865099771907586,0.0001569519847158372,0.0007149053039019757
1,0.9,1.9000000000000001,50.6,9.340664022513488e-05,4.126749241622397e-05,0.0011967800070834195
1,1.8,3.6,12.4,0.00024869020890294017,8.986762311404856e-05,0.000856590930171453
1,1.5,2.9000000000000004,11.0,0.000260862463877011,0.00010033712343954157,0.0011844172522151126
1,1.9000000000000001,3.7,10.9,0.00028442066900624316,8.475565593290428e-05,0.0008716513550601478
1,1.7000000000000002,3.9000000000000004,13.0,0.00022950328307038597,0.00010349461944364426,0.0007840207325844622
1,1.5,3.0,10.700000000000001,0.00035563467864752854,0.0001528869835626929,0.001494095567892743
1,1.3,3.3000000000000003,11.200000000000001,0.00032666462544813144,0.0001065964686948797,0.001109468445371629
1,2.1,4.1000000000000005,11.200000000000001,0.0002855698449162425,8.710676673847028e-05,0.0007978558712496821
1,1.7000000000000002,3.8000000000000003,12.8,0.00016907719546567387,8.116484533978908e-05,0.0005930476085226306
1,0.9,2.2,12.600000000000001,0.0001543108230933114,5.123918883949279e-05,0.0007410778947611721
1,1.7000000000000002,4.9,33.7,0.00011332073100729657,7.594967476130468e-05,0.0006396748887216435
1,9.4,10.5,32.0,0.0002596093910186935,0.0022920828245900334,0.0037639469235230274
1,8.1,10.100000000000001,34.7,0.0002818537159160333,0.0011641333519973166,0.002360464520512899
1,2.8000000000000003,5.4,31.200000000000003,0.0001790385202832276,6.748077586253744e-05,0.0005867562491345546
1,1.0,2.7,32.2,0.0001273788114235794,7.935616381431566e-05,0.001039160747328763
1,1.4000000000000001,3.3000000000000003,24.0,0.00010411641756052314,4.969497656148085e-05,0.0005807894405778884
1,0.6000000000000001,1.4000000000000001,21.900000000000002,0.000173492343020114,8.382808131570466e-05,0.0023092457690196333
1,7.300000000000001,10.9,34.4,7.994713364170839e-05,0.00025418016532768525,0.0007680752514367301
1,0.4,1.3,18.2,0.0001394526439621338,0.00031429317761294973,0.0017698051193280786
1,0.4,0.8,13.700000000000001,0.00019977893828708367,0.0001816635212683085,0.002945160252897178
1,0.8,1.9000000000000001,16.5,0.00016460660375255975,0.00010856700557490145,0.0012400006160914858
1,1.4000000000000001,3.6,33.7,0.00010803293329563001,6.128506590211065e-05,0.0006192489287606705
1,1.8,4.0,33.2,0.00015046077640260954,5.680079228792217e-05,0.0006673902320527161
1,0.7000000000000001,1.7000000000000002,16.1,0.00013656114200445675,8.191490236174266e-05,0.0011586587476880782
1,0.7000000000000001,1.7000000000000002,15.4,0.00013865183920707742,7.548765329505913e-05,0.0010321961580171274
1,5.7,15.4,44.2,9.879750320828817e-05,5.711324603743864e-05,0.0006334411122490482
1,5.6000000000000005,11.9,41.300000000000004,0.00010805526789591062,7.859645123037937e-05,0.0005587835191473759
1,4.6000000000000005,11.600000000000001,40.300000000000004,6.451968333191031e-05,6.125325497901759e-05,0.00043801873419000906
1,9.8,10.8,30.0,6.891633106227642e-05,0.0005819604451883585,0.0009716395998988352
1,10.600000000000001,17.5,49.900000000000006,0.00012756489090677442,0.0002571518667252776,0.0014749589763307614
1,1.8,3.7,19.700000000000003,0.0001586498781444862,5.050195297643087e-05,0.0006039670151236923
1,7.5,10.8,45.5,0.00021512140480321027,0.0012144210610319358,0.0031289459509293077
1,9.0,9.600000000000001,21.1,0.0001650370377797883,0.0012736746171968193,0.001749996866693396
1,2.9000000000000004,7.2,30.200000000000003,0.0001073786253826876,0.0001109972366657133,0.0004286612786421307
1,6.1000000000000005,16.8,48.0,9.034822622440639e-05,6.814177890448344e-05,0.0008921351026560996
1,7.7,10.200000000000001,37.5,0.00015832080286207455,0.0003250752982350717,0.0008912029608340393
1,2.4000000000000004,5.5,37.0,0.00011392392777148866,5.442065026052442e-05,0.0005131428662840948
1,2.1,4.7,32.300000000000004,0.00010646379729723518,4.658679890189225e-05,0.0005589876655223882
1,1.9000000000000001,4.5,33.4,9.57765844133637e-05,5.2983135663228e-05,0.0004936259426082935
1,1.3,2.8000000000000003,17.900000000000002,0.00017846855186251918,7.339081331707103e-05,0.000992305764695411
1,1.3,3.0,29.400000000000002,0.0001385662688144856,5.909619435980534e-05,0.0008074386814294235
1,0.5,1.0,13.600000000000001,0.00017227233179674655,0.0001003781133647144,0.004015374928250032
1,1.5,3.7,29.400000000000002,0.00011820489903740908,7.38790856410288e-05,0.0007249956691413309
1,2.1,4.0,14.100000000000001,0.0003320241899908364,0.0001427387385565473,0.0011903483189830287
1,1.9000000000000001,3.5,13.9,0.00015604635336723276,0.00013470330386294442,0.0010064416183515194
1,1.3,2.5,12.0,0.00020531128260500067,0.00010473715280387282,0.001333694049085297
1,0.8,1.5,7.300000000000001,0.00031700605376736154,0.00013802690274568032,0.005143132989200885
1,0.9,1.8,8.9,0.00018626655737078351,6.273392931210333e-05,0.0017643245736843392
1,1.3,2.5,12.5,0.00020847529033781158,8.676943819013013e-05,0.0012212937751117292
1,1.8,3.3000000000000003,12.5,0.0003183127375554193,0.00013140238031037518,0.0013256033317271218
1,0.5,1.3,13.5,0.0001691118676850731,0.00015868349439725638,0.0019465972341178197
1,1.1,2.3000000000000003,11.4,0.0003530814327376904,0.00014755394518560765,0.002068374631748457
1,1.8,3.3000000000000003,12.5,0.00026859502008064244,0.0001448438405682814,0.0012445501006308661
1,1.6,3.0,12.700000000000001,0.00024258671291639295,0.0001307163185082526,0.001252515845197459
1,1.9000000000000001,3.6,11.8,0.00031459484328659677,0.00011211298900095798,0.0010808971746848796
1,0.9,1.8,10.5,0.00032441062319952575,0.000182157755856637,0.0036833621290598873
1,8.5,10.200000000000001,39.900000000000006,0.0003281730960522813,0.0011719283797175912,0.0024337809950789567
1,0.8,1.7000000000000002,16.0,0.00019760154022185748,8.770974293535815e-05,0.00196178809237815
1,0.6000000000000001,1.5,14.700000000000001,0.00021377134577034077,0.00013846462526803302,0.002117383162601823
1,1.5,2.9000000000000004,11.600000000000001,0.00034009559770181047,0.00011897491323674368,0.0016151258253538918
1,0.6000000000000001,1.2000000000000002,11.0,0.0002968761777114874,0.00017069248791706806,0.004020736017572349
1,0.5,1.0,12.0,0.00016196286857679567,7.190542011308203e-05,0.0019148467987857916
1,8.4,11.0,46.0,0.0002370520118820709,0.0007580363058236339,0.0021012960542207276
1,2.0,4.5,30.900000000000002,0.00016722422264825633,8.65762372372576e-05,0.0006786282534989197
1,3.5,7.0,36.6,0.00018504815496658201,9.704933972163763e-05,0.0006733808181512528
1,1.2000000000000002,3.0,21.900000000000002,0.00010715593838447039,7.131054023492166e-05,0.0006851588616605751
1,1.5,3.3000000000000003,15.100000000000001,0.00016768304872075973,8.999622647521561e-05,0.0007670855134223538
1,1.3,3.6,17.7,0.00011121154156372274,8.671348245683918e-05,0.000591524149658122
1,6.5,8.9,22.0,0.00020213227277139054,0.00037974624121327535,0.0008985627909294875
1,5.9,10.3,34.5,8.680812632068864e-05,0.00017376761822378926,0.0005903680534144863
1,6.7,10.200000000000001,14.600000000000001,0.00018576428632627881,0.002413544770016104,0.003703304420517264
1,0.5,1.0,5.1000000000000005,0.0003095377191000354,0.00014549336597670447,0.007868400412248462
1,0.5,0.9,4.0,0.0002666030429107568,9.262716972402665e-05,0.008472408591646599
1,0.30000000000000004,0.6000000000000001,7.2,0.0004895634976691777,0.00024672684887537674,0.013786221070242452
1,6.800000000000001,9.8,14.200000000000001,0.0001413977670657772,0.0008624347215313327,0.001381658081527591
1,0.8,2.0,15.700000000000001,9.97725687640555e-05,0.00010248792602138822,0.0008500019592097946
1,0.5,1.3,13.0,0.00019353750575362328,0.00018545118234867563,0.0019591324003899614
1,0.5,1.1,11.0,0.0001265847679809795,7.759367217351256e-05,0.0023220313173562125
1,1.9000000000000001,7.6000000000000005,18.7,0.00016018129089049145,0.00033638817787803215,0.0009312267965452187
1,1.5,4.2,17.8,0.00012219355607476402,0.00011556232571934789,0.0005802983052511304
1,0.5,1.0,9.700000000000001,0.0002392483568708687,0.00014926540963342954,0.0043077263992300375
1,0.6000000000000001,1.4000000000000001,10.9,0.0003026213623234319,0.00016710740659813398,0.0031013672976556244
1,2.0,5.5,17.3,0.0001785348044531907,0.0001436382647939361,0.000680165978232065
1,0.6000000000000001,1.5,12.4,0.0002657400186361225,0.00023057857796131937,0.0025214352037232247
1,9.600000000000001,10.100000000000001,14.200000000000001,0.00025411007076156316,0.0034295845628438534,0.004291633607716525
1,9.200000000000001,10.3,17.1,0.00018727694022794967,0.0025450216640811214,0.003630949569130847
1,0.4,0.9,20.0,6.695509186667819e-05,7.522430152118622e-05,0.0008375326243948383
1,0.7000000000000001,2.5,27.3,6.517104367833053e-05,8.68860499293978e-05,0.0006713840469040423
1,9.8,10.3,14.200000000000001,0.00021402268172865136,0.003312950657421611,0.004158496633270008
1,1.2000000000000002,4.4,20.3,0.0001230386952901632,0.0001663407623284668,0.0007836092144993887
1,1.3,4.2,28.900000000000002,8.600633540509534e-05,7.995723193918767e-05,0.0005383709973191267
1,2.0,5.300000000000001,30.5,8.769098600746045e-05,4.475209044604212e-05,0.0003356792395405977
1,9.9,10.9,21.200000000000003,4.0754772144524294e-05,0.0004678263156325467,0.0007677139264741055
1,2.6,9.3,19.0,0.00017307312443006894,0.0008595447114088164,0.0017582614374173481
1,10.100000000000001,10.600000000000001,14.5,0.00016746750619002146,0.0028685202925953527,0.0036478970179935222
1,1.6,8.3,35.1,0.0010977780323436076,0.0027521289782628986,0.009925102194849668
1,0.5,3.1,33.7,0.00048421282287324294,0.001825626757056225,0.008490228436680288
1,2.0,4.4,25.8,0.00011444329623524577,4.650573688642535e-05,0.0004455659457979211
1,0.8,2.1,24.3,7.18114279970211e-05,4.148782339918413e-05,0.00056341508366495
1,1.5,8.700000000000001,18.6,0.0001450522221394809,0.0006408615137288398,0.0014431692103385571
1,0.7000000000000001,1.6,21.400000000000002,0.00010571290017015796,5.4371440567341355e-05,0.0010226566742305696
1,1.6,5.800000000000001,27.700000000000003,6.261904791703485e-05,5.9006388372194183e-05,0.00035323578325214655
1,1.0,4.4,16.7,0.0001814100571909574,0.0003230067390562807,0.0012170305302993546
1,1.0,2.5,23.200000000000003,9.085746434901756e-05,5.061836968160059e-05,0.0005849664150381015
1,10.0,10.4,15.9,0.00018198392984044898,0.003003351974385807,0.0037269925271495633
1,9.1,9.600000000000001,14.700000000000001,0.0002442187116589864,0.0025137629421896584,0.0032519935030244475
1,1.0,8.700000000000001,16.6,0.0001525225512517949,0.0008087161816628611,0.0018734534916302688
1,0.5,1.3,14.100000000000001,0.0001669269340016637,7.44391545802512e-05,0.0015483367636306884
1,1.2000000000000002,3.8000000000000003,26.6,0.00010563235607077511,8.031667281252608e-05,0.0005825351942007616
1,8.9,9.8,13.700000000000001,0.00029135995476640736,0.002785903720495665,0.003812797299513965
1,0.4,1.0,14.3,0.0001324396480654956,8.642283143421312e-05,0.0018316880362404353
1,0.8,2.0,16.8,0.00020678108829561565,0.00017591055658815083,0.0017126426952053094
1,1.1,2.6,16.400000000000002,0.0001480148119498805,0.00011207701568086565,0.001021523967633632
1,4.4,9.200000000000001,22.0,9.02817467429812e-05,0.00025887329699113986,0.0005990928721339549
1,0.5,1.2000000000000002,10.8,0.0002601584899979151,0.0001999798553512818,0.0038842365128611564
1,2.3000000000000003,5.800000000000001,23.700000000000003,0.00011639730481016158,9.209797641363419e-05,0.000475003615499456
1,0.5,1.0,7.6000000000000005,0.0003272211306156751,0.00010573955713677497,0.004887025239706865
1,0.30000000000000004,0.8,11.200000000000001,0.0004398897760133789,0.0006252257717126165,0.005735859456507756
1,0.7000000000000001,1.7000000000000002,12.8,0.0002739279399791994,0.00020236236235899696,0.002065736191566344
1,1.2000000000000002,3.1,15.3,0.0002568283738342179,0.00018908751082123365,0.001355379683209348
1,0.8,2.5,19.6,0.00011570305094327324,0.0001337559919267075,0.0008366565860175494
1,0.6000000000000001,1.4000000000000001,11.9,0.00022188498351345212,0.00014380907761738868,0.002080948553023536
1,0.4,1.0,10.3,0.0003654780705172544,0.00025638085360672345,0.004365129523806714
1,0.5,1.0,10.5,0.00021120367379999212,0.00013738556225998668,0.0034989641654810198
1,6.300000000000001,9.8,15.100000000000001,0.0002094960009748297,0.0014404521314635493,0.0023494363063109045
1,1.0,2.4000000000000004,15.200000000000001,0.00015916849398217632,0.0001447606018387245,0.001169912224146329
